ID	Description	Count	GeneRatio	geneID
GO:0042325	regulation of phosphorylation	14	14/101	EEF1A1/DDR1/APP/HIPK2/YWHAG/FGFR1/PIP4K2B/NTRK2/CALM3/OGT/SOX9/MAVS/MOB1B/LIMCH1
GO:0007409	axonogenesis	14	14/101	GDI1/APP/CRMP1/NTRK2/DPYSL5/CDH2/KIF5C/NCAM1/TUBB2B/BSG/STMN1/FEZ1/L1CAM/NRCAM
GO:0009887	animal organ morphogenesis	14	14/101	DDR1/HIPK2/FGFR1/NTRK2/ATF4/SRSF6/CDH2/ZMIZ1/SOX11/GNAS/ZFAND5/BSG/SOX9/FLNA
GO:0009967	positive regulation of signal transduction	14	14/101	SFPQ/APP/HIPK2/FGFR1/NTRK2/CDH2/WLS/ZMIZ1/SOX11/SOX9/PDIA3/MAVS/FLNA/MN1
GO:0045935	positive regulation of nucleobase-containing compound metabolic process	13	13/101	TMSB4X/SFPQ/APP/HIPK2/ATF4/SALL2/ZMIZ1/OGT/SOX11/APEX1/SOX9/MAVS/SS18L1
GO:0006357	regulation of transcription by RNA polymerase II	13	13/101	SFPQ/APP/HIPK2/ATF4/SALL2/ZMIZ1/OGT/SOX11/APEX1/SOX9/MAVS/CHD3/SS18L1
GO:0045055	regulated exocytosis	13	13/101	TMSB4X/EEF1A1/APLP2/TUBB/APP/SV2A/CALM3/FTL/PSAP/GDI2/FLNA/NCS1/SPARC
GO:0006887	exocytosis	13	13/101	TMSB4X/EEF1A1/APLP2/TUBB/APP/SV2A/CALM3/FTL/PSAP/GDI2/FLNA/NCS1/SPARC
GO:0031328	positive regulation of cellular biosynthetic process	13	13/101	TMSB4X/SFPQ/APP/HIPK2/ATF4/SALL2/ZMIZ1/OGT/SOX11/APEX1/SOX9/MAVS/SS18L1
GO:0007167	enzyme linked receptor protein signaling pathway	13	13/101	PEG10/DDR1/HIPK2/FGFR1/PIP4K2B/NTRK2/ZMIZ1/OGT/SOX11/ZFAND5/STMN1/SOX9/RBFOX2
GO:0051254	positive regulation of RNA metabolic process	12	12/101	SFPQ/APP/HIPK2/ATF4/SALL2/ZMIZ1/OGT/SOX11/APEX1/SOX9/MAVS/SS18L1
GO:0031399	regulation of protein modification process	12	12/101	APP/HIPK2/YWHAG/FGFR1/NTRK2/ZMIZ1/CALM3/OGT/SOX9/MAVS/MOB1B/LIMCH1
GO:1902680	positive regulation of RNA biosynthetic process	12	12/101	SFPQ/APP/HIPK2/ATF4/SALL2/ZMIZ1/OGT/SOX11/APEX1/SOX9/MAVS/SS18L1
GO:1903508	positive regulation of nucleic acid-templated transcription	12	12/101	SFPQ/APP/HIPK2/ATF4/SALL2/ZMIZ1/OGT/SOX11/APEX1/SOX9/MAVS/SS18L1
GO:0045893	positive regulation of transcription, DNA-templated	12	12/101	SFPQ/APP/HIPK2/ATF4/SALL2/ZMIZ1/OGT/SOX11/APEX1/SOX9/MAVS/SS18L1
GO:0010557	positive regulation of macromolecule biosynthetic process	12	12/101	SFPQ/APP/HIPK2/ATF4/SALL2/ZMIZ1/OGT/SOX11/APEX1/SOX9/MAVS/SS18L1
GO:0006468	protein phosphorylation	12	12/101	DDR1/APP/HIPK2/YWHAG/YWHAZ/FGFR1/NTRK2/CALM3/SOX9/MAVS/MOB1B/LIMCH1
GO:0007420	brain development	12	12/101	APP/NTRK2/CDH2/ZMIZ1/CALM3/STMN1/FEZ1/HMGCS1/FLNA/RBFOX2/MBOAT7/ADGRL2
GO:0045934	negative regulation of nucleobase-containing compound metabolic process	11	11/101	SFPQ/HIPK2/ATF4/SRSF6/SALL2/SOX11/APEX1/SOX9/FLNA/CHD3/RBFOX2
GO:0051253	negative regulation of RNA metabolic process	11	11/101	SFPQ/HIPK2/ATF4/SRSF6/SALL2/SOX11/APEX1/SOX9/FLNA/CHD3/RBFOX2
GO:0045937	positive regulation of phosphate metabolic process	11	11/101	TMSB4X/DDR1/APP/HIPK2/FGFR1/NTRK2/CALM3/SOX9/MAVS/MOB1B/LIMCH1
GO:1902533	positive regulation of intracellular signal transduction	11	11/101	SFPQ/APP/HIPK2/FGFR1/NTRK2/CDH2/WLS/SOX11/SOX9/MAVS/FLNA
GO:0006886	intracellular protein transport	11	11/101	SFPQ/GDI1/YWHAG/YWHAZ/SRSF6/WLS/KIF5C/SEC61A1/MAVS/FLNA/TBC1D16
GO:0044070	regulation of anion transport	11	11/101	GDI1/YWHAG/YWHAZ/SV2A/ATF4/GPM6B/WLS/HMGCR/PLTP/MAVS/FLNA
GO:0010562	positive regulation of phosphorus metabolic process	11	11/101	TMSB4X/DDR1/APP/HIPK2/FGFR1/NTRK2/CALM3/SOX9/MAVS/MOB1B/LIMCH1
GO:0030334	regulation of cell migration	11	11/101	TMSB4X/APP/FGFR1/APEX1/SOX9/PREX1/CD99/AMOTL1/FLNA/SPARC/LIMCH1
GO:1902679	negative regulation of RNA biosynthetic process	10	10/101	SFPQ/HIPK2/ATF4/SALL2/SOX11/APEX1/SOX9/FLNA/CHD3/RBFOX2
GO:0051248	negative regulation of protein metabolic process	10	10/101	APLP2/APP/HIPK2/YWHAG/NTRK2/ATF4/CALM3/OGT/HMGCR/FLNA
GO:2000113	negative regulation of cellular macromolecule biosynthetic process	10	10/101	SFPQ/HIPK2/ATF4/SALL2/SOX11/APEX1/SOX9/FLNA/CHD3/RBFOX2
GO:1903507	negative regulation of nucleic acid-templated transcription	10	10/101	SFPQ/HIPK2/ATF4/SALL2/SOX11/APEX1/SOX9/FLNA/CHD3/RBFOX2
GO:0045892	negative regulation of transcription, DNA-templated	10	10/101	SFPQ/HIPK2/ATF4/SALL2/SOX11/APEX1/SOX9/FLNA/CHD3/RBFOX2
GO:0010558	negative regulation of macromolecule biosynthetic process	10	10/101	SFPQ/HIPK2/ATF4/SALL2/SOX11/APEX1/SOX9/FLNA/CHD3/RBFOX2
GO:0042327	positive regulation of phosphorylation	10	10/101	DDR1/APP/HIPK2/FGFR1/NTRK2/CALM3/SOX9/MAVS/MOB1B/LIMCH1
GO:0001932	regulation of protein phosphorylation	10	10/101	APP/HIPK2/YWHAG/FGFR1/NTRK2/CALM3/SOX9/MAVS/MOB1B/LIMCH1
GO:0016071	mRNA metabolic process	10	10/101	SFPQ/APP/YWHAZ/ATF4/SRSF6/RBM39/APEX1/LUC7L3/FLNA/RBFOX2
GO:0010975	regulation of neuron projection development	10	10/101	GDI1/CRMP1/NTRK2/CDH2/FEZ1/PREX1/L1CAM/FLNA/NCS1/SS18L1
GO:0120035	regulation of plasma membrane bounded cell projection organization	10	10/101	GDI1/CRMP1/NTRK2/CDH2/FEZ1/PREX1/L1CAM/FLNA/NCS1/SS18L1
GO:0001944	vasculature development	10	10/101	HIPK2/NTRK2/CDH2/ZMIZ1/ZFAND5/BSG/AMOTL1/FLNA/NRCAM/SPARC
GO:0007411	axon guidance	10	10/101	APP/CRMP1/DPYSL5/KIF5C/NCAM1/TUBB2B/BSG/FEZ1/L1CAM/NRCAM
GO:0031327	negative regulation of cellular biosynthetic process	10	10/101	SFPQ/HIPK2/ATF4/SALL2/SOX11/APEX1/SOX9/FLNA/CHD3/RBFOX2
GO:0032270	positive regulation of cellular protein metabolic process	9	9/101	APP/HIPK2/FGFR1/NTRK2/CALM3/OGT/SOX9/MAVS/LIMCH1
GO:0031401	positive regulation of protein modification process	9	9/101	APP/HIPK2/FGFR1/NTRK2/CALM3/OGT/SOX9/MAVS/LIMCH1
GO:0051247	positive regulation of protein metabolic process	9	9/101	APP/HIPK2/FGFR1/NTRK2/CALM3/OGT/SOX9/MAVS/LIMCH1
GO:0032787	monocarboxylic acid metabolic process	9	9/101	SCD/APP/OGT/FADS1/PGD/BSG/FADS2/SOX9/MSMO1
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	9	9/101	DDR1/FGFR1/PIP4K2B/NTRK2/OGT/ZFAND5/STMN1/SOX9/RBFOX2
GO:0098916	anterograde trans-synaptic signaling	9	9/101	APP/YWHAG/SV2A/NTRK2/ATF4/CDH2/CALM3/TUBB2B/NCS1
GO:0030036	actin cytoskeleton organization	9	9/101	TMSB4X/MARCKSL1/GPM6B/FAT1/STMN1/PREX1/AMOTL1/FLNA/LIMCH1
GO:0007268	chemical synaptic transmission	9	9/101	APP/YWHAG/SV2A/NTRK2/ATF4/CDH2/CALM3/TUBB2B/NCS1
GO:0048514	blood vessel morphogenesis	9	9/101	HIPK2/NTRK2/CDH2/ZMIZ1/BSG/AMOTL1/FLNA/NRCAM/SPARC
GO:0001568	blood vessel development	9	9/101	HIPK2/NTRK2/CDH2/ZMIZ1/BSG/AMOTL1/FLNA/NRCAM/SPARC
GO:0043270	positive regulation of ion transport	9	9/101	TMSB4X/YWHAG/YWHAZ/ATF4/WLS/CALM3/PLTP/MAVS/FLNA
GO:0001934	positive regulation of protein phosphorylation	8	8/101	APP/HIPK2/FGFR1/NTRK2/CALM3/SOX9/MAVS/LIMCH1
GO:0018193	peptidyl-amino acid modification	8	8/101	DDR1/APP/HIPK2/FGFR1/NTRK2/ZMIZ1/CALM3/OGT
GO:0010629	negative regulation of gene expression	8	8/101	TMSB4X/APP/YWHAZ/ATF4/SRSF6/SOX11/APEX1/MAVS
GO:0030335	positive regulation of cell migration	8	8/101	TMSB4X/APP/FGFR1/SOX9/PREX1/CD99/FLNA/SPARC
GO:0099177	regulation of trans-synaptic signaling	8	8/101	APP/YWHAG/NTRK2/ATF4/CDH2/CALM3/TUBB2B/NCS1
GO:0043066	negative regulation of apoptotic process	8	8/101	PTPRZ1/HIPK2/YWHAZ/NTRK2/SRSF6/HYOU1/SOX9/FLNA
GO:0010720	positive regulation of cell development	8	8/101	PTPRZ1/GDI1/NTRK2/SOX11/PREX1/L1CAM/FLNA/SS18L1
GO:0050807	regulation of synapse organization	8	8/101	TUBA1A/TUBB/APP/YWHAZ/NTRK2/CDH2/SPARC/ADGRL2
GO:0050804	modulation of chemical synaptic transmission	8	8/101	APP/YWHAG/NTRK2/ATF4/CDH2/CALM3/TUBB2B/NCS1
GO:0042063	gliogenesis	8	8/101	PTPRZ1/APP/NTRK2/CDH2/ZMIZ1/SOX11/SOX9/MBOAT7
GO:0007423	sensory organ development	8	8/101	DDR1/HIPK2/NTRK2/ATF4/SALL2/SOX11/SOX9/SPARC
GO:2000147	positive regulation of cell motility	8	8/101	TMSB4X/APP/FGFR1/SOX9/PREX1/CD99/FLNA/SPARC
GO:0009968	negative regulation of signal transduction	8	8/101	TMSB4X/PEG10/HIPK2/PIP4K2B/CDH2/HYOU1/STMN1/SOX9
GO:0043069	negative regulation of programmed cell death	8	8/101	PTPRZ1/HIPK2/YWHAZ/NTRK2/SRSF6/HYOU1/SOX9/FLNA
GO:0000165	MAPK cascade	8	8/101	APP/HIPK2/YWHAZ/FGFR1/NTRK2/CDH2/NCAM1/SOX9
GO:0006753	nucleoside phosphate metabolic process	7	7/101	TMSB4X/SCD/APP/OGT/PANK3/HMGCR/HMGCS1
GO:0009150	purine ribonucleotide metabolic process	7	7/101	TMSB4X/SCD/APP/OGT/PANK3/HMGCR/HMGCS1
GO:0032269	negative regulation of cellular protein metabolic process	7	7/101	APLP2/APP/HIPK2/YWHAG/ATF4/CALM3/OGT
GO:0009117	nucleotide metabolic process	7	7/101	TMSB4X/SCD/APP/OGT/PANK3/HMGCR/HMGCS1
GO:0009259	ribonucleotide metabolic process	7	7/101	TMSB4X/SCD/APP/OGT/PANK3/HMGCR/HMGCS1
GO:0006163	purine nucleotide metabolic process	7	7/101	TMSB4X/SCD/APP/OGT/PANK3/HMGCR/HMGCS1
GO:0010628	positive regulation of gene expression	7	7/101	APP/NTRK2/ATF4/ZMIZ1/SOX11/SOX9/MAVS
GO:0006875	cellular metal ion homeostasis	7	7/101	APP/SV2A/ATF4/SLC39A7/CALM3/FTL/NCS1
GO:0000226	microtubule cytoskeleton organization	7	7/101	TUBA1A/TUBB/CRMP1/TUBB2B/STMN1/FLNA/CHD3
GO:0010638	positive regulation of organelle organization	7	7/101	SFPQ/YWHAG/YWHAZ/PIP4K2B/OGT/FLNA/LIMCH1
GO:0034622	cellular protein-containing complex assembly	7	7/101	TMSB4X/SV2A/SRSF6/LUC7L3/STMN1/SOX9/PREX1
GO:0030097	hemopoiesis	7	7/101	APP/HIPK2/ATF4/ZMIZ1/GNAS/PREX1/RBFOX2
GO:0051962	positive regulation of nervous system development	7	7/101	PTPRZ1/GDI1/NTRK2/SOX11/L1CAM/SS18L1/ADGRL2
GO:0030900	forebrain development	7	7/101	APP/NTRK2/CDH2/ZMIZ1/FEZ1/FLNA/MBOAT7
GO:0043009	chordate embryonic development	7	7/101	FGFR1/SALL2/ZMIZ1/SOX11/GNAS/ZFAND5/SOX9
GO:0048534	hematopoietic or lymphoid organ development	7	7/101	APP/HIPK2/ATF4/ZMIZ1/GNAS/PREX1/RBFOX2
GO:0051960	regulation of nervous system development	7	7/101	PTPRZ1/GDI1/NTRK2/SOX11/L1CAM/SS18L1/ADGRL2
GO:1903793	positive regulation of anion transport	7	7/101	YWHAG/YWHAZ/ATF4/WLS/PLTP/MAVS/FLNA
GO:0090087	regulation of peptide transport	7	7/101	GDI1/YWHAG/YWHAZ/WLS/HMGCR/MAVS/FLNA
GO:0043434	response to peptide hormone	7	7/101	YWHAG/PIP4K2B/SRSF6/OGT/BSG/APEX1/SPARC
GO:0051223	regulation of protein transport	7	7/101	GDI1/YWHAG/YWHAZ/WLS/HMGCR/MAVS/FLNA
GO:0098655	cation transmembrane transport	7	7/101	TMSB4X/APP/SLC39A7/CALM3/SEC61A1/FLNA/NCS1
GO:0006873	cellular ion homeostasis	7	7/101	APP/SV2A/ATF4/SLC39A7/CALM3/FTL/NCS1
GO:0055080	cation homeostasis	7	7/101	APP/SV2A/ATF4/SLC39A7/CALM3/FTL/NCS1
GO:0098771	inorganic ion homeostasis	7	7/101	APP/SV2A/ATF4/SLC39A7/CALM3/FTL/NCS1
GO:0042176	regulation of protein catabolic process	6	6/101	EEF1A1/HIPK2/OGT/HMGCR/SOX9/FLNA
GO:0006396	RNA processing	6	6/101	SFPQ/APP/SRSF6/RBM39/LUC7L3/RBFOX2
GO:0008203	cholesterol metabolic process	6	6/101	SCD/APP/FDFT1/HMGCR/HMGCS1/MSMO1
GO:0006397	mRNA processing	6	6/101	SFPQ/APP/SRSF6/RBM39/LUC7L3/RBFOX2
GO:0042119	neutrophil activation	6	6/101	EEF1A1/TUBB/FTL/PSAP/GDI2/PREX1
GO:0043408	regulation of MAPK cascade	6	6/101	APP/HIPK2/YWHAZ/FGFR1/NTRK2/CDH2
GO:0048015	phosphatidylinositol-mediated signaling	6	6/101	FGFR1/PIP4K2B/NTRK2/OGT/SOX9/NCS1
GO:0072503	cellular divalent inorganic cation homeostasis	6	6/101	APP/SV2A/ATF4/SLC39A7/CALM3/NCS1
GO:0010001	glial cell differentiation	6	6/101	PTPRZ1/APP/NTRK2/CDH2/SOX11/SOX9
GO:0001764	neuron migration	6	6/101	FGFR1/NTRK2/ZMIZ1/TUBB2B/FLNA/NRCAM
GO:0050767	regulation of neurogenesis	6	6/101	PTPRZ1/GDI1/NTRK2/SOX11/L1CAM/SS18L1
GO:0050769	positive regulation of neurogenesis	6	6/101	PTPRZ1/GDI1/NTRK2/SOX11/L1CAM/SS18L1
GO:0032956	regulation of actin cytoskeleton organization	6	6/101	TMSB4X/GPM6B/STMN1/PREX1/FLNA/LIMCH1
GO:0072594	establishment of protein localization to organelle	6	6/101	YWHAG/YWHAZ/CALM3/SEC61A1/MAVS/FLNA
GO:0019221	cytokine-mediated signaling pathway	6	6/101	TMSB4X/PTPRZ1/YWHAZ/CANX/NCAM1/MAVS
GO:0051493	regulation of cytoskeleton organization	6	6/101	TMSB4X/GPM6B/STMN1/PREX1/FLNA/LIMCH1
GO:0006325	chromatin organization	6	6/101	SFPQ/ZMIZ1/OGT/SOX9/CHD3/SS18L1
GO:0031346	positive regulation of cell projection organization	6	6/101	GDI1/NTRK2/FEZ1/L1CAM/FLNA/SS18L1
GO:0002576	platelet degranulation	6	6/101	TMSB4X/APLP2/APP/PSAP/FLNA/SPARC
GO:0001525	angiogenesis	6	6/101	HIPK2/BSG/AMOTL1/FLNA/NRCAM/SPARC
GO:0001654	eye development	6	6/101	HIPK2/NTRK2/ATF4/SALL2/SOX11/SOX9
GO:0048568	embryonic organ development	6	6/101	HIPK2/ATF4/SOX11/TUBB2B/GNAS/SOX9
GO:0150063	visual system development	6	6/101	HIPK2/NTRK2/ATF4/SALL2/SOX11/SOX9
GO:0021537	telencephalon development	6	6/101	NTRK2/CDH2/ZMIZ1/FEZ1/FLNA/MBOAT7
GO:0098660	inorganic ion transmembrane transport	6	6/101	TMSB4X/SLC39A7/CALM3/SEC61A1/FLNA/NCS1
GO:0023061	signal release	6	6/101	SV2A/WLS/CALM3/SOX11/GNAS/NCS1
GO:1903530	regulation of secretion by cell	6	6/101	WLS/CALM3/SOX11/GNAS/HMGCR/NCS1
GO:0048017	inositol lipid-mediated signaling	6	6/101	FGFR1/PIP4K2B/NTRK2/OGT/SOX9/NCS1
GO:1901987	regulation of cell cycle phase transition	6	6/101	TUBA1A/TUBB/APP/YWHAG/APEX1/MN1
GO:0002283	neutrophil activation involved in immune response	5	5/101	EEF1A1/TUBB/FTL/PSAP/GDI2
GO:0043312	neutrophil degranulation	5	5/101	EEF1A1/TUBB/FTL/PSAP/GDI2
GO:1903311	regulation of mRNA metabolic process	5	5/101	YWHAZ/SRSF6/RBM39/APEX1/RBFOX2
GO:0006695	cholesterol biosynthetic process	5	5/101	SCD/FDFT1/HMGCR/HMGCS1/MSMO1
GO:0016126	sterol biosynthetic process	5	5/101	SCD/FDFT1/HMGCR/HMGCS1/MSMO1
GO:1902653	secondary alcohol biosynthetic process	5	5/101	SCD/FDFT1/HMGCR/HMGCS1/MSMO1
GO:0051090	regulation of DNA-binding transcription factor activity	5	5/101	TMSB4X/APP/HIPK2/MAVS/FLNA
GO:0008380	RNA splicing	5	5/101	SFPQ/SRSF6/RBM39/LUC7L3/RBFOX2
GO:0000086	G2/M transition of mitotic cell cycle	5	5/101	TUBA1A/TUBB/APP/YWHAG/CALM3
GO:1901990	regulation of mitotic cell cycle phase transition	5	5/101	TUBA1A/TUBB/APP/YWHAG/APEX1
GO:0016055	Wnt signaling pathway	5	5/101	APP/CDH2/WLS/SOX9/AMOTL1
GO:0051056	regulation of small GTPase mediated signal transduction	5	5/101	GDI1/OGT/STMN1/GDI2/PREX1
GO:0043410	positive regulation of MAPK cascade	5	5/101	APP/HIPK2/FGFR1/NTRK2/CDH2
GO:0033157	regulation of intracellular protein transport	5	5/101	GDI1/YWHAG/YWHAZ/MAVS/FLNA
GO:0032388	positive regulation of intracellular transport	5	5/101	YWHAG/YWHAZ/FEZ1/MAVS/FLNA
GO:0090150	establishment of protein localization to membrane	5	5/101	GDI1/YWHAG/YWHAZ/CALM3/SEC61A1
GO:0071560	cellular response to transforming growth factor beta stimulus	5	5/101	PEG10/HIPK2/ZMIZ1/SOX11/SOX9
GO:1901653	cellular response to peptide	5	5/101	APP/YWHAG/PIP4K2B/OGT/APEX1
GO:0007416	synapse assembly	5	5/101	APP/NTRK2/CDH2/NRCAM/ADGRL2
GO:1901888	regulation of cell junction assembly	5	5/101	APP/NTRK2/GPM6B/LIMCH1/ADGRL2
GO:0110053	regulation of actin filament organization	5	5/101	TMSB4X/STMN1/PREX1/FLNA/LIMCH1
GO:0043299	leukocyte degranulation	5	5/101	EEF1A1/TUBB/FTL/PSAP/GDI2
GO:0090596	sensory organ morphogenesis	5	5/101	HIPK2/NTRK2/ATF4/SOX11/SOX9
GO:0048705	skeletal system morphogenesis	5	5/101	FGFR1/SOX11/GNAS/ZFAND5/SOX9
GO:0048762	mesenchymal cell differentiation	5	5/101	FGFR1/CDH2/SOX11/SOX9/FLNA
GO:0048593	camera-type eye morphogenesis	5	5/101	HIPK2/NTRK2/ATF4/SOX11/SOX9
GO:0007507	heart development	5	5/101	ZMIZ1/SOX11/SOX9/FLNA/SPARC
GO:0060485	mesenchyme development	5	5/101	FGFR1/CDH2/SOX11/SOX9/FLNA
GO:0048608	reproductive structure development	5	5/101	BSG/PSAP/SOX9/HMGCS1/FLNA
GO:0048592	eye morphogenesis	5	5/101	HIPK2/NTRK2/ATF4/SOX11/SOX9
GO:0021987	cerebral cortex development	5	5/101	NTRK2/CDH2/ZMIZ1/FLNA/MBOAT7
GO:0043010	camera-type eye development	5	5/101	HIPK2/NTRK2/ATF4/SOX11/SOX9
GO:0051222	positive regulation of protein transport	5	5/101	YWHAG/YWHAZ/WLS/MAVS/FLNA
